image,sigma,algorithm,psnr,SSIM,Execution time (s)
ruler.512,10,swnlm,33.508405,0.998865,254.017000
ruler.512,10,cnlm,32.736515,0.998644,130.662000
ruler.512,15,noisy,24.598813,0.991115,n/a
ruler.512,15,swnlm,29.968732,0.997430,254.776000
ruler.512,15,cnlm,29.807102,0.997333,130.827000
ruler.512,20,noisy,22.119302,0.984234,n/a
ruler.512,20,swnlm,27.445838,0.995406,254.735000
ruler.512,20,cnlm,27.647047,0.995615,131.034000
ruler.512,25,noisy,20.177485,0.975294,n/a
ruler.512,25,swnlm,25.576771,0.992938,254.327000
ruler.512,25,cnlm,26.001069,0.993597,130.217000
ruler.512,30,noisy,18.567647,0.964153,n/a
ruler.512,30,swnlm,23.955645,0.989739,254.074000
ruler.512,30,cnlm,24.695730,0.991347,130.155000
ruler.512,35,noisy,17.254699,0.951372,n/a
ruler.512,35,swnlm,22.707901,0.986293,254.569000
ruler.512,35,cnlm,23.853563,0.989455,130.353000
ruler.512,40,noisy,16.092937,0.936605,n/a
ruler.512,40,swnlm,21.624386,0.982382,254.376000
ruler.512,40,cnlm,23.043557,0.987269,130.087000
ruler.512,45,noisy,15.086819,0.920513,n/a
ruler.512,45,swnlm,20.699074,0.978177,254.025000
ruler.512,45,cnlm,22.322661,0.984984,130.815000
ruler.512,50,noisy,14.150848,0.902351,n/a
ruler.512,50,swnlm,19.851939,0.973467,254.201000
ruler.512,50,cnlm,21.592280,0.982332,130.724000
ruler.512,55,noisy,13.298726,0.882872,n/a
ruler.512,55,swnlm,19.023714,0.967932,254.338000
ruler.512,55,cnlm,20.776060,0.978899,130.448000
ruler.512,60,noisy,12.575419,0.864175,n/a
ruler.512,60,swnlm,18.290251,0.962345,254.526000
ruler.512,60,cnlm,19.950463,0.974362,130.418000
7.1.02,0,original,inf,1.000000,n/a
7.1.02,5,noisy,34.129070,0.988251,n/a
7.1.02,5,swnlm,39.115709,0.996154,255.917000
7.1.02,5,cnlm,39.776546,0.996694,130.282000
7.1.02,10,noisy,28.118121,0.956746,n/a
7.1.02,10,swnlm,36.216723,0.992514,256.806000
7.1.02,10,cnlm,36.195768,0.992474,131.097000
7.1.02,15,noisy,24.603129,0.913063,n/a
7.1.02,15,swnlm,34.709930,0.989393,256.649000
7.1.02,15,cnlm,33.788170,0.986927,131.482000
7.1.02,20,noisy,22.102014,0.863910,n/a
7.1.02,20,swnlm,33.686057,0.986561,256.960000
7.1.02,20,cnlm,31.894304,0.979968,130.513000
7.1.02,25,noisy,20.181725,0.813276,n/a
7.1.02,25,swnlm,32.892751,0.983857,256.990000
7.1.02,25,cnlm,30.329924,0.971546,130.679000
7.1.02,30,noisy,18.604165,0.762876,n/a
7.1.02,30,swnlm,32.137878,0.980687,256.635000
7.1.02,30,cnlm,29.036605,0.961905,129.446000
7.1.02,35,noisy,17.245288,0.715494,n/a
7.1.02,35,swnlm,31.370140,0.977073,256.866000
7.1.02,35,cnlm,27.832905,0.950760,130.281000
7.1.02,40,noisy,16.085687,0.672997,n/a
7.1.02,40,swnlm,30.785488,0.973654,256.719000
7.1.02,40,cnlm,26.806096,0.938373,130.928000
7.1.02,45,noisy,15.060807,0.637266,n/a
7.1.02,45,swnlm,30.301496,0.970609,257.052000
7.1.02,45,cnlm,25.867371,0.925328,130.320000
7.1.02,50,noisy,14.159787,0.608738,n/a
7.1.02,50,swnlm,29.704610,0.966504,257.231000
7.1.02,50,cnlm,25.063177,0.912035,130.818000
7.1.02,55,noisy,13.325900,0.585466,n/a
7.1.02,55,swnlm,29.135438,0.961988,257.398000
7.1.02,55,cnlm,24.313941,0.898192,130.543000
7.1.02,60,noisy,12.571909,0.567714,n/a
7.1.02,60,swnlm,28.653589,0.957911,256.912000
7.1.02,60,cnlm,23.615735,0.884192,130.995000
house,0,original,inf,1.000000,n/a
house,5,noisy,34.162705,0.997586,n/a
house,5,swnlm,36.074169,0.998447,251.871000
house,5,cnlm,36.800353,0.998686,130.347000
house,10,noisy,28.134812,0.990319,n/a
house,10,swnlm,31.485721,0.995538,253.624000
house,10,cnlm,32.402335,0.996384,130.748000
house,15,noisy,24.594808,0.978110,n/a
house,15,swnlm,29.038715,0.992176,254.431000
house,15,cnlm,30.168312,0.993932,129.710000
house,20,noisy,22.104440,0.961346,n/a
house,20,swnlm,27.672093,0.989279,255.081000
house,20,cnlm,28.611614,0.991201,129.852000
house,25,noisy,20.147267,0.939773,n/a
house,25,swnlm,26.857259,0.987006,255.548000
house,25,cnlm,27.265799,0.987920,130.728000
house,30,noisy,18.590154,0.914967,n/a
house,30,swnlm,26.393941,0.985377,255.787000
house,30,cnlm,26.212201,0.984535,130.149000
house,35,noisy,17.239806,0.886591,n/a
house,35,swnlm,25.919808,0.983453,255.588000
house,35,cnlm,25.211874,0.980379,129.580000
house,40,noisy,16.098896,0.856841,n/a
house,40,swnlm,25.477421,0.981539,256.171000
house,40,cnlm,24.385296,0.976160,130.351000
house,45,noisy,15.068704,0.825555,n/a
house,45,swnlm,25.022863,0.979332,256.681000
house,45,cnlm,23.613789,0.971478,130.022000
house,50,noisy,14.163416,0.794858,n/a
house,50,swnlm,24.620298,0.977391,256.339000
house,50,cnlm,22.898911,0.966641,130.030000
house,55,noisy,13.316203,0.764367,n/a
house,55,swnlm,24.212117,0.974725,256.047000
house,55,cnlm,22.216294,0.960555,130.646000
house,60,noisy,12.586767,0.737164,n/a
house,60,swnlm,23.896228,0.973088,256.623000
house,60,cnlm,21.697766,0.956057,130.477000
7.1.10,0,original,inf,1.000000,n/a
7.1.10,5,noisy,34.144077,0.991804,n/a
7.1.10,5,swnlm,34.428720,0.992295,251.951000
7.1.10,5,cnlm,36.254176,0.994863,130.690000
7.1.10,10,noisy,28.122221,0.968708,n/a
7.1.10,10,swnlm,31.429488,0.984366,254.629000
7.1.10,10,cnlm,32.887761,0.988641,130.035000
7.1.10,15,noisy,24.590879,0.934273,n/a
7.1.10,15,swnlm,30.589345,0.980716,255.700000
7.1.10,15,cnlm,30.731856,0.981142,130.491000
7.1.10,20,noisy,22.109348,0.892467,n/a
7.1.10,20,swnlm,29.959548,0.977475,256.088000
7.1.10,20,cnlm,29.161879,0.972653,130.603000
7.1.10,25,noisy,20.179352,0.846539,n/a
7.1.10,25,swnlm,29.378050,0.974176,256.486000
7.1.10,25,cnlm,27.944823,0.963787,131.174000
