image,sigma,algorithm,search radius,neighbor radius,psnr,MSSIM,execution time (s)
boat,30,swnlm_cuda,10,1,26.399657,0.548944,0.145000
boat,30,cnlm_cuda,10,1,25.823451,0.505153,0.082000
boat,30,swnlm,10,2,27.101575,0.590170,72.541000
boat,30,cnlm,10,2,26.352842,0.537289,3.876000
boat,30,swnlm_cuda,10,2,27.104710,0.590283,0.385000
boat,30,cnlm_cuda,10,2,26.352858,0.537289,0.099000
boat,30,swnlm,10,3,26.767819,0.558069,168.626000
boat,30,cnlm,10,3,26.384698,0.539337,6.731000
boat,30,swnlm_cuda,10,3,26.770970,0.558169,1.185000
boat,30,cnlm_cuda,10,3,26.384723,0.539339,0.148000
boat,40,noisy,-,-,16.362397,0.152441,-
boat,40,swnlm,5,1,24.519534,0.444459,5.311000
boat,40,cnlm,5,1,23.736810,0.395578,0.547000
boat,40,swnlm_cuda,5,1,24.526008,0.444811,0.042000
boat,40,cnlm_cuda,5,1,23.736815,0.395578,0.016000
boat,40,swnlm,5,2,25.290093,0.509663,20.071000
boat,40,cnlm,5,2,24.327291,0.426227,1.069000
boat,40,swnlm_cuda,5,2,25.295203,0.509913,0.114000
boat,40,cnlm_cuda,5,2,24.327286,0.426227,0.025000
boat,40,swnlm,5,3,24.990627,0.497827,46.464000
boat,40,cnlm,5,3,24.368492,0.428477,1.857000
boat,40,swnlm_cuda,5,3,24.993840,0.497963,0.324000
boat,40,cnlm_cuda,5,3,24.368482,0.428477,0.044000
boat,40,swnlm,8,1,24.654782,0.448044,12.622000
boat,40,cnlm,8,1,24.020040,0.402209,1.290000
boat,40,swnlm_cuda,8,1,24.657972,0.448190,0.098000
boat,40,cnlm_cuda,8,1,24.020039,0.402209,0.038000
boat,40,swnlm,8,2,25.555514,0.517697,47.791000
boat,40,cnlm,8,2,24.632329,0.434043,2.547000
boat,40,swnlm_cuda,8,2,25.559016,0.517835,0.250000
boat,40,cnlm_cuda,8,2,24.632324,0.434042,0.061000
boat,40,swnlm,8,3,25.381249,0.495789,111.084000
boat,40,cnlm,8,3,24.672263,0.436287,4.409000
boat,40,swnlm_cuda,8,3,25.383870,0.495878,0.773000
boat,40,cnlm_cuda,8,3,24.672253,0.436286,0.099000
boat,40,swnlm,10,1,24.665989,0.447157,19.170000
boat,40,cnlm,10,1,24.023372,0.401791,1.969000
boat,40,swnlm_cuda,10,1,24.668301,0.447264,0.138000
boat,40,cnlm_cuda,10,1,24.023384,0.401791,0.084000
boat,40,swnlm,10,2,25.591273,0.518990,72.895000
boat,40,cnlm,10,2,24.628356,0.433641,3.879000
boat,40,swnlm_cuda,10,2,25.594014,0.519088,0.381000
boat,40,cnlm_cuda,10,2,24.628347,0.433641,0.104000
boat,40,swnlm,10,3,25.468311,0.492969,169.682000
boat,40,cnlm,10,3,24.665817,0.435765,6.714000
boat,40,swnlm_cuda,10,3,25.470453,0.493035,1.176000
boat,40,cnlm_cuda,10,3,24.665825,0.435766,0.149000
boat,50,noisy,-,-,14.590013,0.110461,-
boat,50,swnlm,5,1,23.055204,0.361634,5.298000
boat,50,cnlm,5,1,22.359108,0.322530,0.547000
boat,50,swnlm_cuda,5,1,23.062998,0.361977,0.043000
boat,50,cnlm_cuda,5,1,22.359111,0.322530,0.016000
boat,50,swnlm,5,2,23.951703,0.430074,20.109000
boat,50,cnlm,5,2,23.004751,0.349424,1.070000
boat,50,swnlm_cuda,5,2,23.956993,0.430327,0.109000
boat,50,cnlm_cuda,5,2,23.004757,0.349424,0.025000
boat,50,swnlm,5,3,23.578956,0.417891,46.392000
boat,50,cnlm,5,3,23.049978,0.351424,1.862000
boat,50,swnlm_cuda,5,3,23.582627,0.418051,0.322000
boat,50,cnlm_cuda,5,3,23.049985,0.351424,0.044000
boat,50,swnlm,8,1,23.187445,0.363807,12.589000
boat,50,cnlm,8,1,22.601555,0.324136,1.290000
boat,50,swnlm_cuda,8,1,23.192383,0.363978,0.095000
boat,50,cnlm_cuda,8,1,22.601559,0.324136,0.038000
boat,50,swnlm,8,2,24.228841,0.443588,47.891000
boat,50,cnlm,8,2,23.257587,0.351704,2.542000
boat,50,swnlm_cuda,8,2,24.232403,0.443741,0.249000
boat,50,cnlm_cuda,8,2,23.257594,0.351705,0.060000
boat,50,swnlm,8,3,24.005433,0.428751,111.056000
boat,50,cnlm,8,3,23.300454,0.353624,4.424000
boat,50,swnlm_cuda,8,3,24.008245,0.428852,0.799000
boat,50,cnlm_cuda,8,3,23.300445,0.353624,0.103000
boat,50,swnlm,10,1,23.196855,0.363291,19.151000
boat,50,cnlm,10,1,22.590336,0.322444,1.957000
boat,50,swnlm_cuda,10,1,23.200945,0.363419,0.146000
boat,50,cnlm_cuda,10,1,22.590329,0.322444,0.089000
boat,50,swnlm,10,2,24.275140,0.444738,73.094000
boat,50,cnlm,10,2,23.233999,0.349905,3.876000
boat,50,swnlm_cuda,10,2,24.277948,0.444836,0.401000
boat,50,cnlm_cuda,10,2,23.233989,0.349904,0.110000
boat,50,swnlm,10,3,24.067629,0.427739,169.680000
boat,50,cnlm,10,3,23.274205,0.351758,6.711000
boat,50,swnlm_cuda,10,3,24.070267,0.427820,1.177000
boat,50,cnlm_cuda,10,3,23.274203,0.351757,0.148000
boat,60,noisy,-,-,13.242648,0.084868,-
boat,60,swnlm,5,1,21.753543,0.300073,5.324000
boat,60,cnlm,5,1,21.393997,0.277349,0.556000
boat,60,swnlm_cuda,5,1,21.764116,0.300456,0.041000
boat,60,cnlm_cuda,5,1,21.393998,0.277349,0.015000
boat,60,swnlm,5,2,22.667243,0.358741,20.113000
boat,60,cnlm,5,2,22.074242,0.301300,1.070000
boat,60,swnlm_cuda,5,2,22.673972,0.359044,0.109000
boat,60,cnlm_cuda,5,2,22.074257,0.301301,0.026000
boat,60,swnlm,5,3,22.084188,0.340686,46.362000
boat,60,cnlm,5,3,22.121557,0.303050,1.864000
boat,60,swnlm_cuda,5,3,22.087844,0.340873,0.324000
boat,60,cnlm_cuda,5,3,22.121563,0.303051,0.044000
boat,60,swnlm,8,1,21.891749,0.301340,12.654000
boat,60,cnlm,8,1,21.601157,0.274770,1.289000
boat,60,swnlm_cuda,8,1,21.898529,0.301538,0.097000
boat,60,cnlm_cuda,8,1,21.601153,0.274769,0.038000
boat,60,swnlm,8,2,22.988668,0.370871,47.839000
boat,60,cnlm,8,2,22.280383,0.298769,2.544000
boat,60,swnlm_cuda,8,2,22.993793,0.371048,0.251000
boat,60,cnlm_cuda,8,2,22.280386,0.298770,0.061000
boat,60,swnlm,8,3,22.571376,0.358045,111.411000
boat,60,cnlm,8,3,22.324745,0.300468,4.414000
boat,60,swnlm_cuda,8,3,22.574214,0.358151,0.776000
boat,60,cnlm_cuda,8,3,22.324738,0.300468,0.098000
boat,60,swnlm,10,1,21.899985,0.300430,19.259000
boat,60,cnlm,10,1,21.575786,0.272241,1.955000
boat,60,swnlm_cuda,10,1,21.905110,0.300571,0.138000
boat,60,cnlm_cuda,10,1,21.575781,0.272241,0.085000
boat,60,swnlm,10,2,23.070026,0.372649,73.052000
boat,60,cnlm,10,2,22.241161,0.296203,3.881000
boat,60,swnlm_cuda,10,2,23.074434,0.372778,0.382000
boat,60,cnlm_cuda,10,2,22.241163,0.296204,0.099000
boat,60,swnlm,10,3,22.698965,0.360962,169.723000
boat,60,cnlm,10,3,22.283158,0.297858,6.762000
boat,60,swnlm_cuda,10,3,22.701543,0.361054,1.183000
boat,60,cnlm_cuda,10,3,22.283158,0.297858,0.148000
